,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ornamental Winners,Agricultural Winners,Nitrogen-fixer?,family,Generic Epithet,Specific Hybrid Symbol,Specific Epithet,Section,Botanic,Infraspecific rank,Infraspecific Epithet,Cultivar Epithet,comm_ful,Conservation Status,Native range,"Habit (tree, shrub, vine)",# stems,Growth rate,Lifespan,Max Height (ft),Max Spread (ft),Leaf persistence,HABITAT,Wetland indicator,Light exposure,Soil preferences,Propagation,Root type/depth,Container Type,Transplant Time,Time to prune,Insect Pests,Disease,pH min,pH max,USDA Hardiness Zone,Salt Tolerance,Drought tolerance,Heat tolerance,"Flood Tolerance intolerant, tolerant, medium (10-30% season)",Leaf color,Fall color,flower color,Bloom time,Fruit color,Bark features,Thorns?,Fruit type,CTLA Species rating,Edible?,Wildlife value,"wildlife habitat uses            DB = high value deer browse
WB = wildlife browse
WM = wildlife mast (fruit, nut, seed)
WC = wildlife cover
",wildlife specific uses,Uses,Umass treecount
,,,,,,,,Quercus x warei,,,,Regal Prince® aka 'Long' Oak,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Rhododendron,,,,Lights Series Azaleas and PJM's are zone 4,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Rhododendron,,,,Electric Lights™ aka 'UMNAZ633',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Rhododendron,,,,"Azalea - 'Candy Lights™', 'Golden Lights', 'Haaga', 'Hellikki', 'Lemon Lights', 'Lilac Lights™', 'Mandarin Lights', 'Mikkeii', 'Northern Hi-Lights', 'Northern Lights', 'Orchid Lights', ' Rosy Lights', 'Tri-Lights', 'White Lights', 'Aglo', 'Millenium', 'P.J.M.', 'P.J.M. Elite', 'Pink and Sweet', 'Weston's Innocence', 'Weston's Lemon Drop', 'Weston's Parade', 'Weston's Popsicle'",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Rhododendron,,,,"Besse Howells', ‘Ken Janeck’",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Rhododendron catawbiense,,,,"Azalea - 'Album', 'English Roseum', 'Nova Zembla', 'Purple Elegens', 'Roseum Elegans'",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Rhododendron x,,,,"Bubblegum', 'Helsinki University', 'Mikkelli', ‘Olga Mezzitt’, ‘Cornell Pink’ , ‘Henry’s Red’, ‘April Rose’",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Rhododendron x,,,,"First Editions® Electric Lights™ Double Pink Azalea aka 'UMNAZ 493' PP26,600",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Rhododendron x,,,,Minnmetonka',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Rhododendron x,,,,Purple Gem Azalea,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Rhododendron x kosteranum,,,,Mollis Azalea,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Rhus trilobata,,,,Skunkbush Sumac,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Rhus typhina,,,,First Editions® Tiger Eyes® aka 'Bailtiger' PP16.185 Cutleaf Staghorn Sumac,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Salix,,,,Golden Curls Willow,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Salix alba,,,,Niobe aka 'Tristis' Weeping Willow,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Salix caprea,,,,Weeping aka 'Pendula' Pussy Willow,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Salix integra,,,,Nishiki Willow - 'Hakuro Nishiki',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Salix integra,,,,Hakura Nishiki' Tree Form Willow,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Salix integra,,,,Flamingo',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Salix matsudana,,,,Corkscrew aka 'Tortuosa' Willow,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Salix nakamurana,,,,Nakamuruana Willow,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Salix purpurea,,,,Dwarf Blue Leaf Arctic Willow aka 'Nana',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sambucus nigra,,,,"Black Elderberry - Black Lace™ Elderberry aka 'Eva', Black Beauty® aka'Gerda'",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sorbus alnifolia,,,,Korean Mountain Ash,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sorbus hybrida,,,,Oak Leaf Mountain Ash,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Spiraea japonica,,,,"Spirea - 'Golden Elf', 'Neon Flash', 'Pink Parade'",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Spiraea japonica,,,,Empire Ice Dragon' aka IceconspirPPAF,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Spiraea japonica,,,,"Empire Northern Lights aka 'DAVCOP01' PP31,996",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Spiraea japonica,,,,"Yeti aka 'Conspiyet' PP28,999",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Spiraea japonica,,,,Double Play® Candy Corn™ 'NCSX1',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Spiraea japonica,,,,Double Play® Doozie™ 'NCSX2',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Spiraea nipponica,,,,Snowmound Spirea,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Spiraea prunifolia,,,,Bridalwreath Spirea,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Spiraea thunbergii,,,,Mellow Yellow Spirea aka 'Ogon',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Spiraea x arguta,,,,Dwarf Garland Spirea aka 'Compacta',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Spiraea x bumalda,,,,"Spirea - 'Anthony Waterer Spirea', 'Crispa', 'Dart's Red', ' Flowering Choice'",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Spiraea x cineria,,,,Grefsheim Spirea,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Spiraea x vanhoullei,,,,Firegold® aka 'Levgold' Spirea,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Stephanandra incise,,,,Crispa Cutleaf Stephanandra,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Symphoricarpos orbiculatus,,,,Red Snowberry,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Symphoricarpos x doorenbosii,,,,Candy™ Coralberry aka 'Kolmean',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Symphoricarpos x doorenbosii,,,,Galaxy™ Snowberry aka 'Kolmgala',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Symphoricarpos x doorenbosii,,,,Sweet™ Coralberry aka 'Kolmagics',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Syringa,,,,Lilac - 'Declaration',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Syringa pekinensis,,,,Beijing Gold® aka 'Zhang Zhiming' Pekin Tree Lilac,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Syringa reticulata,,,,Golden Eclipse Lilac,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Syringa vulgaris,,,,"New Age Lavender, aka 'G13099' PPAF",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Syringa x,,,,Josee Lilac,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Syringa x,,,,Congo',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Syringa x chinensis,,,,Lilac Sunday,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Taxus cuspidata,,,,Emerald Spreader 'Monloo',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Taxus cuspidata,,,,Upright aka 'Capitata' Yew,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Taxus media,,,,Meyeri',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Taxus media,,,,Pyramidalis',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Taxus x media,,,,"Citation', 'Dark Green', 'Taunton'",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Thuja occidentalis,,,,Mr. Bowling Ball® aka 'Bobaram' Arborvitae,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Thuja occidentalis,,,,PancakeTM - aka ‘Concesarini’,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Thuja occidentalis,,,,Sunkist Arborvitae,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Tilia cordata,,,,"Littleleaf Linden - 'Corzam', 'Corinthinian', 'Baileyi' Shamrock®, 'Greenspire'",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Tilia x flavescens,,,,Glenleven Linden,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ulmus,,,,"Pioneer', 'Morton Plainsman' aka Vanguard Elm, 'Cathedral', 'Homestead', Accolade® aka 'Morton', Triumph™ aka 'Morton Glossy', 'Patriot', 'Prospector' 'Homestead', 'Morton Stalwart', Commendation™, 'New Horizon'",,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ulmus carpinifolia,,,,‘New Horizon',,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Viburnum,,,,Emerald Triumph Viburnum,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Viburnum opulus,,,,Dwarf European aka 'Nanum' Cranberrybush,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Viburnum rhytidophylloides x burejaeticum,,,,Emerald Triumph Viburnum Tree Form,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Viburnum sargentii,,,,Onondaga Viburnum,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Viburnum x juddi,,,,Judd Viburnum,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,,,,,,Xanthoceras sorbifolium,,,,Yellowhorn,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
,,,Betulaceae,carpinus,,caroliniana,,carpinus caroliniana,,,,"hornbeam, american",Least concern,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,70,,,,,,25
,,,Sapindaceae,acer,,japonicum,,acer japonicum,var.,dissectum,,"maple, fullmoon",Least concern,,,,,,30,20,,,,,,,,,,,,,6,7.5,5,,,,,,,,,,,,,80,,,,,,2
,,,Sapindaceae,acer,,palmatum,,acer palmatum,,,,"maple, japanese",Least concern,,round tree,,,,25,15,,,,part shade/full sun,,,,,spring,,,,6,7.5,5,,,,,,,,,,,,,70,,,,,,43
,,,,,,,,Actinidia arguta (also listed under vines),,,,Issai' - Hardy Kiwi,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Aesculus x carnea,,,,"Ruby Horsechestnut - 'Briotii', 'Fort McNair",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Aronia arbutifolia,,,,Brilliantissima',,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Betula utilis var. jacquemontii,,,,Himalayan birch,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Buddleia davidii,,,,"African Queen', 'Black Knight', 'Honeycomb', 'Moonshadow', 'Nanho Blue', 'Pink Delight', 'Potter's Purple', 'Summer Rose', 'Windy Hill'",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Buddleia davidii,,,,Pugster Pinker™ aka 'SMNHPPH,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Buddleia davidii,,,,"Butterfly Bush -
Pugster Blue® aka 'SMNBDBT'
Pugster Periwinkle® aka 'SMNBDO'
Pugster Pink® aka 'SMNBDPT' 
Pugster Amethyst® aka 'SMNBDL'",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Buddleia davidii,,,,"Funky Fuchsia™ 'PIIBD-II' PP26,278, Groovy Grape™ 'PIIBD-I' PP26,305, Psychedelic Sky™ 'PIIBD-III' PP26,306, 'Purple Haze' PP24,514,",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Buxus microphylla,,,,Winter Gem',,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Buxus microphylla x sempervirens,,,,"Winter Gem', 'Green Mountain'",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Buxus sempervirens,,,,Common Boxwood - 'Suffruticosa',,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Buxus sempervirens,,,,Arctic Emerald',,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Buxus sempervirens,,,,Graham Blandy',,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Callicarpa dichotoma,,,,Profusion',,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Callicarpa dichotoma,,,,"Dark Star', 'Early Amethyst', 'Issai'",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Calycanthus floridus,,,,"Athens', 'Michael Lindsey'",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Carpinus betulus,,,,"Hornbeam - 'Columnaris', 'Frans Fontaine', 'Fastigiata', 'Globosa', 'Pendula', 'Purpurea'",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Carya illinoensis,,,,"Pecan - 'Cape Fear', 'Cheyenne', 'Choctaw', 'Desirable', 'Elliott', 'Kiowa', 'Mahan', 'Maramec', 'Mohawk', 'Navajo', 'Pawnee', 'Silverback', 'Stuart', 'Western', 'Wichita'",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Caryopteris x clandonensis,,,,"Blue Mist', 'Dark Knight', 'Minbleu', 'Blayer Splatz'",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Catalpa bignoniodes,,,,Southern Catalpa,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Catalpa bignoniodes,,,,Southern Catalpa - 'Aurea',,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Chaenomeles japonica,,,,Quince - 'Minerva',,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Chaenomeles japonica,,,,Quince - 'Rubra',,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Chaenomeles japonica,,,,Quince - 'Sargentii',,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Chaenomeles speciosa,,,,"Quince -'Alba', 'Apple Blossom', 'Contorta' , 'Crimson Beauty', 'Nivalis', 'Rubra', 'Spitfire'",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Chaenomeles speciosa,,,,Quince - 'Toyo Nishiki',,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Chaenomeles speciosa,,,,Quince Double Take Peach™,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Chaenomeles superba,,,,"Quince - 'Crimson and Gold', 'Hollandia'",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Chaenomeles superba,,,,Quince - 'Jet Trail',,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Chaenomeles superba,,,,Quince -'Texas Scarlet',,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Chamaecyparis nootkatensis,,,,Pendula' Weeping Nootka Cypress,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Chamaecyparis obtusa,,,,"Falsecypress - 'Hinoki', 'Nana Gracilis'",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cladrastis kentuckea,,,,Yellowwood - 'Perkins Pink',,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus kousa,,,,Kousa Dogwood,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus kousa chinensis,,,,Chinese or Kousa Dogwood,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus kousa var. chinensis,,,,Galilean® aka 'Galzam',,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus sanguinea,,,,"Dogwood - 'Compressa', 'Midwinter Fire', 'Winter Beauty'",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cornus x,,,,Stellar Pink® aka ‘Rutgan’,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Corylus avellana,,,,Contorted Hazel - 'Contorta',,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cotinus coggygria,,,,Smokebush - 'Royal Purple',,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cotinus coggygria,,,,"Smokebush - 'Atropurpureus', 'Daydream', 'Purple Supreme'",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cotinus coggygria,,,,Smokebush - 'Pink Champagne',,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cotinus coggygria,,,,Smokebush - 'Purpureus',,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cotoneaster,,,,"First Editions® Autumn Inferno® Cotoneaster, 'Bonfire'",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cotoneaster dammeri,,,,Nordic Carpet',,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Cytisus purgans,,,,Broom - 'Spanish Gold',,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Daphne mezereum,,,,February Daphne,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Deutzia,,,,Yuki Cherry Blossom™,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Deutzia gracilis,,,,"Nana', 'Nikko', 'Slender Deutzia'",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Euonymus alatus,,,,"Rudy Haag'
Specially Regulated Plant in Minnesota (3-year phase-out period) and will become a Restricted Noxious Weed in 2023.",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Euonymus fortunei,,,,"Emerald Gaiety', 'Emerald and Gold', 'Harliquin'",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,Fagus,,orientalis,,Fagus  orientalis,,,,,,,,,,,,,,tolerant of most conditions,,,,,,,,,,,,,5,,,,,,,,,,,Resistance to verticillium wilt,,,,,,,,
,,,,,,,,Fagus sylvatica,,,,"Beech - 'Purple Fountain', 'Rohan Obelisk'",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Fagus sylvatica,,,,"Beech - 'Dawyck', 'Purpurea Pendula', 'Purple Fountian', 'Red Obelisk'",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Forsythia,,,,Arnold Dwarf',,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Forsythia viridissima,,,,Dwarf Forsythia - 'Bronxensis',,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Gymnocladus dioicus,,,,Prairie Titan™,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Halesia carolina,,,,Carolina Silverbell,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hamamelis vernalis,,,,Vernal Witch Hazel,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hamamelis x intermedia,,,,Witch Hazel - 'Arnold Promise',,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hamamelis x intermedia,,,,"Witch Hazel - 'Diane', 'Jelena'",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Heptacodium miconioides,,,,First Editions® Tianshan™ Seven-son flower aka 'Minhep',,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Heptacodium miconioides,,,,Seven-son Flower,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hibiscus syriacus,,,,"Aphrodite', 'Ardens', 'Greba', 'Notwoodthree', 'Bluishing Bride', 'Collie Mullens', 'Notwoodone'",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hibiscus syriacus,,,,"Diana', 'Minfren', 'Minspot', 'Minigrand', 'Mineu'",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hibiscus syriacus,,,,French Cabaret™ aka 'MindauV5',,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hydrangea anomala (also listed with VINES),,,,Climbing Hydrangea,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hydrangea macrophylla,,,,"All Summer Beauty', 'Glowing Embers' First Editions® 'Light o Day' aka 'Bailday', 'Nikko Blue', 'Pia', 'Pink Beauty'",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hydrangea macrophylla,,,,Bigleaf Hydrangea,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hydrangea macrophylla,,,,Endless Summer® 'Blushing Bride,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hydrangea quercifolia,,,,Oakleaf Hydrangea,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hydrangea quercifolia,,,,"Oakleaf Hydrangea 'Alice', 'Snow Queen','Munchkin', 'Ruby Slippers'",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Hypericum x,,,,Hidcote' Gold Cup St. Johnswort,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ilex glabra,,,,Nordic' Holly - 'Chamzin',,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ilex meserveae,,,,Blue Girl',,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ilex meserveae,,,,"Blue Princess', 'Blue Prince', 'Castle Wall'",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ilex meserveae,,,,"‘Castle Spire’, ‘China Boy’, ‘China Girl’, ‘Honeymooners’",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ilex meserveae,,,,"Castle Spire', 'China Boy', 'China Girl', 'Honeymooners'",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Itea virginica -,,,,"Virginia Sweetspire 'Henrys Garnet', 'Sprich'",,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
,,,,,,,,Juglans regia,,,,Carpathian' walnut,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
